primary,grade,osm_name,osm_fclass,layer,score,dist_km,disposition,wkt
北京动物园景区,4A,北京动物园,zoo,poi,1.0,0.0,OSM_MATCH,"POLYGON ((116.3221801 39.9409042, 116.3222259 39.9411779, 116.3230182 39.9415466, 116.3236496 39.9417939, 116.3241347 39.9418989, 116.3250141 39.9420875, 116.3252964 39.9421317, 116.3258646 39.942533, 116.3261143 39.94263, 116.3264006 39.9426963, 116.3264283 39.9426947, 116.3266932 39.9426796, 116.3269182 39.9426048, 116.3269702 39.9427446, 116.3291822 39.9430457, 116.3317359 39.9436247, 116.3317359 39.9438879, 116.3327658 39.9439998, 116.3332808 39.9444275, 116.3336223 39.9449131, 116.3337656 39.9449264, 116.3338985 39.9448576, 116.3343819 39.9448528, 116.3344992 39.9444473, 116.3362849 39.9443749, 116.3368446 39.9420287, 116.3369 39.9405482, 116.3368541 39.9399538, 116.3366435 39.9399483, 116.3364243 39.9399426, 116.3364181 39.9398184, 116.3364268 39.9391424, 116.3362885 39.9390927, 116.3362455 39.9389469, 116.3362716 39.9388191, 116.3364284 39.9387271, 116.3364356 39.9375283, 116.3324875 39.9373641, 116.3313793 39.9373158, 116.3311294 39.937241, 116.3279338 39.9371822, 116.3279975 39.9375154, 116.3279791 39.9382208, 116.3243848 39.9382464, 116.3241173 39.9385882, 116.3229246 39.9386921, 116.3221801 39.9409042))"
北京园博园景区,4A,北京园博园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((116.1579678 39.8849579, 116.1638257 39.8885705, 116.167731 39.8860068, 116.1693908 39.8851078, 116.1713651 39.8844002, 116.1726018 39.8836594, 116.1763769 39.8822692, 116.1779824 39.8817031, 116.1807487 39.8816199, 116.1840248 39.8817115, 116.1856737 39.8819779, 116.1877239 39.8825356, 116.1898068 39.8828686, 116.1913146 39.8826272, 116.1924108 39.88259, 116.1944964 39.8813063, 116.1958794 39.8804419, 116.1976527 39.8790725, 116.1989688 39.8782251, 116.2008425 39.8762565, 116.2014559 39.8750154, 116.2020216 39.8725873, 116.2026942 39.8706557, 116.2035078 39.8694318, 116.2051133 39.8671338, 116.2069467 39.864461, 116.2072938 39.8638116, 116.207083 39.8634971, 116.2019814 39.8611924, 116.2015293 39.8610271, 116.2006603 39.8607077, 116.199539 39.8604654, 116.1988539 39.860408, 116.1984037 39.8603996, 116.1973863 39.8603946, 116.1971314 39.8606098, 116.1967162 39.8606689, 116.1953053 39.8630878, 116.1949259 39.8635, 116.1944597 39.8639454, 116.1937894 39.8642775, 116.1912904 39.865065, 116.1903987 39.8654642, 116.1895442 39.8661059, 116.1880835 39.8677834, 116.1864435 39.8698542, 116.1854807 39.8709785, 116.1849166 39.8714579, 116.1836345 39.8722373, 116.1729332 39.8783975, 116.1713763 39.8764709, 116.1690728 39.876143, 116.1682926 39.8758293, 116.167178 39.875088, 116.1645959 39.8747744, 116.1637785 39.8741613, 116.1623853 39.8757438, 116.159896 39.8769841, 116.1592644 39.8774831, 116.1594513 39.882435, 116.1594347 39.8827112, 116.1594009 39.882994, 116.1593301 39.8832261, 116.1592314 39.8835098, 116.1591235 39.8837586, 116.1590095 39.8839423, 116.1588354 39.8841326, 116.1579678 39.8849579))"
北京国际鲜花港景区,4A,顺义国际鲜花港,park,landuse,0.67,0.0,OSM_MATCH,"POLYGON ((116.7840901 40.1845095, 116.7946505 40.1865496, 116.7953181 40.1830258, 116.7946505 40.1828519, 116.7952422 40.1795829, 116.7960087 40.1796694, 116.7968091 40.1753168, 116.7891882 40.1751196, 116.7891579 40.1758268, 116.7858502 40.1758616, 116.7840901 40.1845095))"
北京大观园,3A,北京大观园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((116.3480715 39.8708374, 116.3491335 39.8708724, 116.3492621 39.8709688, 116.3492833 39.8716364, 116.3494054 39.8716409, 116.3493991 39.8717507, 116.3503779 39.8717313, 116.35037 39.8715755, 116.3508846 39.8715796, 116.3512576 39.8715355, 116.351756 39.871525, 116.3517589 39.8713669, 116.3520372 39.8713671, 116.3520718 39.8697638, 116.3520759 39.8696894, 116.3510503 39.8696581, 116.3510868 39.8684661, 116.3500504 39.8683498, 116.348391 39.8683663, 116.3483888 39.86845, 116.3481937 39.8684505, 116.3480715 39.8708374))"
北京奥林匹克公园,5A,奥林匹克公园,park,landuse,0.83,0.0,OSM_MATCH,"POLYGON ((116.3806123 40.0087083, 116.3935515 40.008556, 116.3945884 39.9872121, 116.3886114 39.9869575, 116.3816752 39.9868086, 116.3812399 39.9957776, 116.3806123 40.0087083))"
北京市中山公园景区,4A,中山公园,park,landuse,0.67,0.08,OSM_MATCH,"POLYGON ((116.3854936 39.9109645, 116.3858338 39.9109773, 116.3858164 39.9115288, 116.3898881 39.9116893, 116.3899282 39.9116908, 116.3899466 39.9111686, 116.3902957 39.9111774, 116.3903649 39.9096463, 116.3903412 39.9096457, 116.3903484 39.9094852, 116.3903721 39.9094858, 116.390381 39.909291, 116.3904772 39.9092936, 116.390486 39.9091591, 116.3905005 39.9088116, 116.3904994 39.9087973, 116.3904472 39.9087961, 116.3904636 39.9083581, 116.390422 39.9083572, 116.3904264 39.9082401, 116.390433 39.908063, 116.3904747 39.908064, 116.390491 39.9076293, 116.3905656 39.9076309, 116.3905678 39.907495, 116.3905809 39.9071808, 116.3898956 39.9071649, 116.389419 39.9071541, 116.388936 39.9071433, 116.388313 39.9071288, 116.388331 39.9066681, 116.3858229 39.9066105, 116.3858257 39.9067769, 116.3860622 39.9067838, 116.3865617 39.9072255, 116.3864748 39.9090804, 116.3864109 39.9090799, 116.3864002 39.9092815, 116.3856035 39.9092713, 116.3855613 39.9106333, 116.3855526 39.9108822, 116.3854966 39.910882, 116.3854936 39.9109645), (116.387317 39.9109972, 116.3873728 39.9098207, 116.3873382 39.9098197, 116.3873409 39.9097633, 116.3873438 39.9097025, 116.3873772 39.9097034, 116.3874309 39.9085721, 116.3885749 39.908604, 116.3885757 39.9085866, 116.3886469 39.9085886, 116.3887233 39.9085907, 116.3887225 39.9086075, 116.3898606 39.9086392, 116.3898064 39.9097831, 116.3898452 39.9097842, 116.3898426 39.9098399, 116.3898397 39.909902, 116.3898019 39.909901, 116.3897467 39.9110644, 116.3886379 39.9110334, 116.3886366 39.911061, 116.3885193 39.9110577, 116.3883993 39.9110543, 116.3884006 39.9110275, 116.387317 39.9109972))"
北京市北海公园旅游区,4A,北海公园,park,landuse,0.67,0.0,OSM_MATCH,"POLYGON ((116.3781237 39.930306, 116.3804848 39.9304055, 116.3810459 39.9304259, 116.3810385 39.9305454, 116.3809888 39.9313477, 116.380985 39.9316778, 116.3824863 39.9317303, 116.3832441 39.9317568, 116.3833853 39.9317012, 116.3836357 39.9317099, 116.3836789 39.9317114, 116.3858272 39.9318269, 116.385894 39.931894, 116.3863216 39.9319126, 116.3867787 39.9317846, 116.3867891 39.9315179, 116.3868759 39.9303324, 116.386659 39.9303281, 116.3866932 39.9296676, 116.3867279 39.9285241, 116.3868533 39.9271861, 116.3866177 39.9270526, 116.3865112 39.9267136, 116.386508 39.926293, 116.3864011 39.9262938, 116.3863715 39.9259962, 116.3863196 39.9258204, 116.3863016 39.9256914, 116.386083 39.925368, 116.3860158 39.9254186, 116.3858654 39.9253249, 116.3849985 39.9251077, 116.3847725 39.9249927, 116.3846717 39.9247714, 116.3847281 39.9245895, 116.3848365 39.9244787, 116.3849528 39.9243257, 116.3850124 39.9242959, 116.3851085 39.9241946, 116.385163 39.9240319, 116.3852283 39.9229671, 116.3851866 39.9225201, 116.3851108 39.9223601, 116.3849586 39.9221891, 116.3843543 39.9216851, 116.3843406 39.9216858, 116.3839873 39.9217019, 116.3838054 39.9215071, 116.3835765 39.9215071, 116.3834438 39.9215027, 116.3833496 39.9214987, 116.383284 39.9212226, 116.3831728 39.921129, 116.3831182 39.921083, 116.3829998 39.9210577, 116.3828147 39.9210639, 116.3826838 39.9210695, 116.3825358 39.9211112, 116.3824499 39.9211997, 116.3822416 39.9212663, 116.3821103 39.9212503, 116.3807998 39.921198, 116.3807025 39.9212142, 116.3806109 39.9212576, 116.3805501 39.9212917, 116.3803377 39.9212852, 116.3801612 39.9212797, 116.3799688 39.9226084, 116.3798394 39.9228083, 116.3793739 39.9235271, 116.379068 39.9243132, 116.3789768 39.9246793, 116.37884 39.9250146, 116.3783846 39.9265108, 116.3781237 39.930306))"
北京市宣武艺园景区,3A,宣武艺园,park,landuse,0.67,0.0,OSM_MATCH,"POLYGON ((116.3511151 39.8946992, 116.3516698 39.8947586, 116.3530135 39.8947851, 116.3550505 39.8947848, 116.3550405 39.8933318, 116.3548091 39.8933258, 116.3548138 39.8932268, 116.3548151 39.893137, 116.3548193 39.8930638, 116.3543534 39.8930486, 116.3543456 39.8929883, 116.3533864 39.8929548, 116.3530546 39.8926822, 116.3528247 39.8924639, 116.3528161 39.8923558, 116.35269 39.8923487, 116.3525957 39.8920294, 116.3522722 39.8919998, 116.3522405 39.8919974, 116.351971 39.8919765, 116.3518113 39.892092, 116.3517348 39.8928276, 116.3516644 39.8928638, 116.3515163 39.8930894, 116.3513623 39.8934563, 116.3512114 39.8941728, 116.3511436 39.8941735, 116.3511151 39.8946992))"
北京市房山世界地质公园博物馆景区,3A,房山世界地质公园博物馆,museum,poi,0.87,0.0,OSM_MATCH,"POLYGON ((115.8667725 39.5828948, 115.866776 39.5850375, 115.867545 39.5847238, 115.8683471 39.5844864, 115.8690291 39.5843751, 115.869786 39.5843, 115.8698069 39.5829497, 115.8667725 39.5828948))"
北京市景山公园景区,4A,景山公园,park,landuse,0.67,0.0,OSM_MATCH,"POLYGON ((116.3877719 39.9267147, 116.3883018 39.9267366, 116.3895216 39.926773, 116.3903184 39.926789, 116.3911428 39.9268055, 116.3923039 39.9268293, 116.3927842 39.9268364, 116.3928311 39.9259358, 116.3928623 39.9253497, 116.3928719 39.9251803, 116.3928844 39.9249925, 116.3929054 39.9245419, 116.3929022 39.924508, 116.3929033 39.9244098, 116.392904 39.9243392, 116.3929945 39.9221658, 116.3906651 39.9220833, 116.3906673 39.922038, 116.3905185 39.9220337, 116.3903729 39.9220295, 116.3903708 39.9220726, 116.3880669 39.9219905, 116.3880666 39.9220768, 116.3880225 39.9221082, 116.3879052 39.9240882, 116.3879585 39.9241252, 116.3879558 39.9241573, 116.3879211 39.9241569, 116.3879197 39.9242367, 116.3879181 39.9243342, 116.3879558 39.9243345, 116.3879532 39.924368, 116.3878935 39.9244086, 116.3878753 39.9249879, 116.3878732 39.9250815, 116.3878668 39.9251855, 116.3877719 39.9267147))"
